instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,count
3991,15-02-2011,Winter,2011,February,15,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,176
3992,08-10-2012,Fall,2012,October,8,No Holiday,Monday,Working Day,Cloudy or Light Rain,594
3993,23-07-2011,Summer,2011,July,16,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,274
3994,02-08-2012,Summer,2012,August,0,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,94
3995,08-08-2011,Summer,2011,August,2,No Holiday,Monday,Working Day,Clear or Partly Cloudy,3
3996,21-05-2012,Spring,2012,May,23,No Holiday,Monday,Non-Working Day,Light Rain or Mist,110
3997,28-12-2011,Winter,2011,December,22,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,90
3998,11-12-2012,Winter,2012,December,8,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,759
3999,02-09-2012,Fall,2012,September,15,No Holiday,Sunday,Working Day,Cloudy or Light Rain,36
4000,10-09-2012,Fall,2012,September,14,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,500
4001,25-05-2012,Spring,2012,May,7,No Holiday,Friday,Working Day,Light Rain or Mist,493
4002,10-04-2012,Spring,2012,April,19,Holiday,Tuesday,Non-Working Day,Light Rain or Mist,432
4003,12-09-2011,Fall,2011,September,16,No Holiday,Monday,Working Day,Cloudy or Light Rain,76
4004,03-05-2011,Spring,2011,May,12,No Holiday,Tuesday,Working Day,Light Rain or Mist,179
4005,26-08-2012,Summer,2012,August,12,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,338
4006,15-10-2012,Fall,2012,October,13,No Holiday,Monday,Working Day,Cloudy or Light Rain,278
4007,23-01-2011,Winter,2011,January,11,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,123
4008,27-04-2012,Spring,2012,April,11,No Holiday,Friday,Working Day,Light Rain or Mist,150
4009,27-11-2012,Fall,2012,November,1,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,121
4010,17-07-2012,Summer,2012,July,3,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,6
4011,09-07-2011,Summer,2011,July,7,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,52
4012,10-03-2011,Spring,2011,March,3,No Holiday,Thursday,Working Day,Light Rain or Mist,8
4013,16-06-2011,Summer,2011,June,16,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,330
4014,11-07-2012,Summer,2012,July,17,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,837
4015,01-09-2011,Fall,2011,September,14,No Holiday,Thursday,Working Day,Cloudy or Light Rain,47
4016,07-03-2011,Spring,2011,March,22,No Holiday,Monday,Working Day,Light Rain or Mist,107
4017,24-10-2012,Fall,2012,October,3,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,29
4018,08-07-2012,Summer,2012,July,7,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,66
4019,03-08-2011,Summer,2011,August,8,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,188
4020,03-09-2011,Fall,2011,September,8,No Holiday,Saturday,Working Day,Cloudy or Light Rain,454
4021,26-04-2012,Spring,2012,April,16,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,400
4022,07-03-2011,Spring,2011,March,4,No Holiday,Monday,Non-Working Day,Light Rain or Mist,1
4023,24-03-2012,Spring,2012,March,1,No Holiday,Saturday,Working Day,Light Rain or Mist,11
4024,10-01-2011,Winter,2011,January,13,No Holiday,Monday,Working Day,Heavy Snow or Rain,112
4025,17-08-2012,Summer,2012,August,21,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,246
4026,12-12-2012,Winter,2012,December,20,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,256
4027,15-04-2012,Spring,2012,April,19,No Holiday,Sunday,Working Day,Light Rain or Mist,427
4028,26-10-2012,Fall,2012,October,12,No Holiday,Friday,Working Day,Cloudy or Light Rain,295
4029,20-01-2012,Winter,2012,January,0,No Holiday,Friday,Working Day,Heavy Snow or Rain,48
4030,05-03-2011,Spring,2011,March,13,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,373
4031,15-07-2011,Summer,2011,July,18,No Holiday,Friday,Working Day,Clear or Partly Cloudy,398
4032,17-11-2012,Fall,2012,November,22,No Holiday,Saturday,Working Day,Cloudy or Light Rain,78
4033,10-08-2012,Summer,2012,August,9,No Holiday,Friday,Working Day,Clear or Partly Cloudy,228
4034,09-12-2012,Winter,2012,December,0,No Holiday,Sunday,Working Day,Heavy Snow or Rain,21
4035,04-04-2011,Spring,2011,April,7,No Holiday,Monday,Working Day,Light Rain or Mist,300
4036,14-01-2011,Winter,2011,January,2,No Holiday,Friday,Working Day,Heavy Snow or Rain,10
4037,23-06-2011,Summer,2011,June,3,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,1
4038,27-08-2012,Summer,2012,August,21,No Holiday,Monday,Working Day,Clear or Partly Cloudy,191
4039,22-10-2011,Fall,2011,October,7,No Holiday,Saturday,Working Day,Cloudy or Light Rain,342
4040,10-05-2011,Spring,2011,May,8,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,125
4041,14-11-2011,Fall,2011,November,10,No Holiday,Monday,Working Day,Cloudy or Light Rain,81
4042,25-02-2012,Winter,2012,February,19,No Holiday,Saturday,Working Day,Heavy Snow or Rain,486
4043,09-06-2012,Summer,2012,June,1,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,11
4044,16-12-2012,Winter,2012,December,22,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,211
4045,17-01-2012,Winter,2012,January,14,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,255
4046,01-06-2012,Summer,2012,June,23,No Holiday,Friday,Non-Working Day,Clear or Partly Cloudy,70
4047,25-11-2011,Fall,2011,November,19,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,267
4048,05-10-2012,Fall,2012,October,5,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,10
4049,01-06-2011,Summer,2011,June,10,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,33
4050,11-07-2012,Summer,2012,July,19,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,361
4051,05-04-2011,Spring,2011,April,9,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,207
4052,21-08-2012,Summer,2012,August,11,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,224
4053,14-04-2012,Spring,2012,April,19,No Holiday,Saturday,Working Day,Light Rain or Mist,427
4054,22-06-2012,Summer,2012,June,2,No Holiday,Friday,Working Day,Clear or Partly Cloudy,11
4055,15-10-2012,Fall,2012,October,11,No Holiday,Monday,Working Day,Cloudy or Light Rain,313
4056,23-12-2012,Winter,2012,December,7,No Holiday,Sunday,Working Day,Heavy Snow or Rain,461
4057,13-03-2012,Spring,2012,March,23,No Holiday,Tuesday,Working Day,Light Rain or Mist,256
4058,14-04-2012,Spring,2012,April,17,No Holiday,Saturday,Working Day,Light Rain or Mist,811
4059,08-01-2011,Winter,2011,January,14,No Holiday,Saturday,Non-Working Day,Heavy Snow or Rain,359
4060,17-07-2012,Summer,2012,July,19,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,487
4061,14-07-2011,Summer,2011,July,23,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,95
4062,03-11-2011,Fall,2011,November,17,No Holiday,Thursday,Working Day,Cloudy or Light Rain,452
4063,06-06-2012,Summer,2012,June,12,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,148
4064,14-04-2011,Spring,2011,April,12,No Holiday,Thursday,Non-Working Day,Light Rain or Mist,313
4065,20-05-2012,Spring,2012,May,0,No Holiday,Sunday,Working Day,Light Rain or Mist,15
4066,11-10-2012,Fall,2012,October,22,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,68
4067,01-11-2011,Fall,2011,November,8,Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,86
4068,24-03-2011,Spring,2011,March,20,No Holiday,Thursday,Working Day,Light Rain or Mist,88
4069,04-07-2012,Summer,2012,July,19,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,206
4070,27-09-2012,Fall,2012,September,4,No Holiday,Thursday,Working Day,Cloudy or Light Rain,1
4071,14-08-2012,Summer,2012,August,22,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,193
4072,26-01-2012,Winter,2012,January,19,No Holiday,Thursday,Working Day,Heavy Snow or Rain,531
4073,11-09-2012,Fall,2012,September,1,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,122
4074,27-10-2011,Fall,2011,October,21,No Holiday,Thursday,Working Day,Cloudy or Light Rain,70
4075,27-12-2012,Winter,2012,December,17,No Holiday,Thursday,Working Day,Heavy Snow or Rain,638
4076,17-03-2011,Spring,2011,March,23,No Holiday,Thursday,Working Day,Light Rain or Mist,105
4077,03-12-2012,Winter,2012,December,9,No Holiday,Monday,Working Day,Heavy Snow or Rain,328
4078,26-01-2012,Winter,2012,January,13,Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,176
4079,14-07-2012,Summer,2012,July,8,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,529
4080,19-12-2012,Winter,2012,December,3,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,3
4081,26-12-2011,Winter,2011,December,3,No Holiday,Monday,Working Day,Heavy Snow or Rain,6
4082,03-08-2011,Summer,2011,August,16,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,11
4083,08-04-2012,Spring,2012,April,3,No Holiday,Sunday,Working Day,Light Rain or Mist,6
4084,18-05-2011,Spring,2011,May,21,No Holiday,Wednesday,Working Day,Light Rain or Mist,123
4085,13-01-2011,Winter,2011,January,5,No Holiday,Thursday,Non-Working Day,Heavy Snow or Rain,3
4086,13-05-2012,Spring,2012,May,23,No Holiday,Sunday,Working Day,Light Rain or Mist,226
4087,16-11-2012,Fall,2012,November,2,No Holiday,Friday,Working Day,Cloudy or Light Rain,8
4088,14-08-2011,Summer,2011,August,17,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,513
4089,09-05-2011,Spring,2011,May,7,No Holiday,Monday,Working Day,Light Rain or Mist,330
4090,07-03-2011,Spring,2011,March,8,No Holiday,Monday,Working Day,Light Rain or Mist,436
4091,02-10-2011,Fall,2011,October,0,No Holiday,Sunday,Working Day,Cloudy or Light Rain,43
4092,05-01-2012,Winter,2012,January,6,No Holiday,Thursday,Working Day,Heavy Snow or Rain,180
4093,25-07-2012,Summer,2012,July,14,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,598
4094,05-09-2011,Fall,2011,September,4,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,12
4095,23-09-2012,Fall,2012,September,8,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,119
4096,02-07-2012,Summer,2012,July,0,No Holiday,Monday,Working Day,Clear or Partly Cloudy,19
4097,22-12-2012,Winter,2012,December,22,No Holiday,Saturday,Non-Working Day,Heavy Snow or Rain,147
4098,08-10-2012,Fall,2012,October,1,No Holiday,Monday,Working Day,Cloudy or Light Rain,21
4099,03-12-2012,Winter,2012,December,4,No Holiday,Monday,Working Day,Heavy Snow or Rain,5
4100,01-11-2012,Fall,2012,November,20,No Holiday,Thursday,Working Day,Cloudy or Light Rain,268
4101,15-08-2012,Summer,2012,August,23,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,87
4102,13-11-2012,Fall,2012,November,9,No Holiday,Tuesday,Non-Working Day,Cloudy or Light Rain,90
4103,08-11-2012,Fall,2012,November,8,Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,397
4104,22-11-2012,Fall,2012,November,4,No Holiday,Thursday,Working Day,Cloudy or Light Rain,4
4105,06-09-2012,Fall,2012,September,19,No Holiday,Thursday,Working Day,Cloudy or Light Rain,516
4106,25-07-2012,Summer,2012,July,9,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,278
4107,18-04-2011,Spring,2011,April,17,No Holiday,Monday,Non-Working Day,Light Rain or Mist,213
4108,06-03-2011,Spring,2011,March,14,No Holiday,Sunday,Non-Working Day,Light Rain or Mist,161
4109,14-08-2012,Summer,2012,August,18,No Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,453
4110,15-02-2012,Winter,2012,February,6,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,2
4111,03-08-2011,Summer,2011,August,15,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,180
4112,23-08-2012,Summer,2012,August,9,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,265
4113,10-01-2012,Winter,2012,January,11,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,279
4114,20-07-2011,Summer,2011,July,6,No Holiday,Wednesday,Working Day,Clear or Partly Cloudy,126
4115,03-12-2012,Winter,2012,December,6,No Holiday,Monday,Working Day,Heavy Snow or Rain,131
4116,23-08-2011,Summer,2011,August,8,No Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,54
4117,09-06-2011,Summer,2011,June,5,No Holiday,Thursday,Non-Working Day,Clear or Partly Cloudy,3
4118,10-04-2011,Spring,2011,April,23,No Holiday,Sunday,Working Day,Light Rain or Mist,20
4119,10-04-2012,Spring,2012,April,20,No Holiday,Tuesday,Working Day,Light Rain or Mist,385
4120,10-02-2012,Winter,2012,February,1,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,94
4121,17-04-2011,Spring,2011,April,6,No Holiday,Sunday,Working Day,Light Rain or Mist,102
4122,15-06-2012,Summer,2012,June,22,No Holiday,Friday,Working Day,Clear or Partly Cloudy,177
4123,25-03-2011,Spring,2011,March,0,No Holiday,Friday,Working Day,Light Rain or Mist,27
4124,04-05-2011,Spring,2011,May,13,No Holiday,Wednesday,Non-Working Day,Light Rain or Mist,367
4125,13-11-2012,Fall,2012,November,9,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,315
4126,18-02-2012,Winter,2012,February,19,No Holiday,Saturday,Working Day,Heavy Snow or Rain,566
4127,25-03-2012,Spring,2012,March,0,No Holiday,Sunday,Working Day,Light Rain or Mist,89
4128,14-07-2012,Summer,2012,July,3,No Holiday,Saturday,Non-Working Day,Clear or Partly Cloudy,16
4129,03-06-2012,Summer,2012,June,0,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,69
4130,22-03-2011,Spring,2011,March,16,No Holiday,Tuesday,Working Day,Light Rain or Mist,294
4131,18-05-2011,Spring,2011,May,18,No Holiday,Wednesday,Working Day,Light Rain or Mist,523
4132,16-05-2012,Spring,2012,May,7,No Holiday,Wednesday,Working Day,Light Rain or Mist,280
4133,08-05-2012,Spring,2012,May,18,No Holiday,Tuesday,Working Day,Light Rain or Mist,891
4134,24-08-2011,Summer,2011,August,13,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,286
4135,07-02-2012,Winter,2012,February,20,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,286
4136,12-08-2012,Summer,2012,August,20,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,214
4137,17-03-2012,Spring,2012,March,18,No Holiday,Saturday,Working Day,Light Rain or Mist,977
4138,15-03-2012,Spring,2012,March,18,No Holiday,Thursday,Working Day,Light Rain or Mist,505
4139,21-02-2011,Winter,2011,February,2,No Holiday,Monday,Working Day,Heavy Snow or Rain,6
4140,25-01-2011,Winter,2011,January,21,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,40
4141,18-11-2012,Fall,2012,November,10,No Holiday,Sunday,Non-Working Day,Cloudy or Light Rain,328
4142,14-06-2011,Summer,2011,June,21,No Holiday,Tuesday,Non-Working Day,Clear or Partly Cloudy,88
4143,06-09-2011,Fall,2011,September,9,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,69
4144,19-09-2011,Fall,2011,September,9,No Holiday,Monday,Non-Working Day,Cloudy or Light Rain,76
4145,13-02-2012,Winter,2012,February,8,No Holiday,Monday,Non-Working Day,Heavy Snow or Rain,156
4146,06-05-2011,Spring,2011,May,14,No Holiday,Friday,Working Day,Light Rain or Mist,78
4147,06-02-2011,Winter,2011,February,21,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,140
4148,13-07-2012,Summer,2012,July,4,No Holiday,Friday,Working Day,Clear or Partly Cloudy,4
4149,17-07-2012,Summer,2012,July,14,No Holiday,Tuesday,Working Day,Clear or Partly Cloudy,244
4150,04-11-2011,Fall,2011,November,14,No Holiday,Friday,Non-Working Day,Cloudy or Light Rain,370
4151,11-06-2012,Summer,2012,June,10,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,396
4152,25-02-2011,Winter,2011,February,14,No Holiday,Friday,Working Day,Heavy Snow or Rain,265
4153,25-07-2011,Summer,2011,July,13,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,441
4154,06-08-2012,Summer,2012,August,14,No Holiday,Monday,Working Day,Clear or Partly Cloudy,211
4155,17-02-2012,Winter,2012,February,16,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,443
4156,24-02-2011,Winter,2011,February,18,No Holiday,Thursday,Working Day,Heavy Snow or Rain,175
4157,13-10-2011,Fall,2011,October,10,No Holiday,Thursday,Working Day,Cloudy or Light Rain,61
4158,09-12-2012,Winter,2012,December,16,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,435
4159,20-12-2012,Winter,2012,December,11,No Holiday,Thursday,Working Day,Heavy Snow or Rain,203
4160,22-04-2011,Spring,2011,April,22,No Holiday,Friday,Non-Working Day,Light Rain or Mist,130
4161,10-05-2011,Spring,2011,May,9,No Holiday,Tuesday,Working Day,Light Rain or Mist,254
4162,20-09-2012,Fall,2012,September,11,No Holiday,Thursday,Non-Working Day,Cloudy or Light Rain,566
4163,06-11-2011,Fall,2011,November,23,No Holiday,Sunday,Working Day,Cloudy or Light Rain,88
4164,05-08-2012,Summer,2012,August,16,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,342
4165,01-06-2011,Summer,2011,June,12,No Holiday,Wednesday,Non-Working Day,Clear or Partly Cloudy,288
4166,17-02-2012,Winter,2012,February,18,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,107
4167,26-06-2011,Summer,2011,June,9,No Holiday,Sunday,Non-Working Day,Clear or Partly Cloudy,227
4168,25-11-2011,Fall,2011,November,8,No Holiday,Friday,Working Day,Cloudy or Light Rain,282
4169,26-05-2012,Spring,2012,May,19,No Holiday,Saturday,Working Day,Light Rain or Mist,272
4170,04-09-2012,Fall,2012,September,6,No Holiday,Tuesday,Working Day,Cloudy or Light Rain,95
4171,05-02-2012,Winter,2012,February,3,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,31
4172,21-11-2012,Fall,2012,November,23,No Holiday,Wednesday,Working Day,Cloudy or Light Rain,192
4173,05-07-2012,Summer,2012,July,12,No Holiday,Thursday,Working Day,Clear or Partly Cloudy,251
4174,02-09-2011,Fall,2011,September,5,No Holiday,Friday,Working Day,Cloudy or Light Rain,3
4175,15-07-2011,Summer,2011,July,11,No Holiday,Friday,Working Day,Clear or Partly Cloudy,125
4176,23-12-2012,Winter,2012,December,15,No Holiday,Sunday,Non-Working Day,Heavy Snow or Rain,330
4177,19-03-2012,Spring,2012,March,3,No Holiday,Monday,Non-Working Day,Light Rain or Mist,32
4178,18-01-2012,Winter,2012,January,11,No Holiday,Wednesday,Working Day,Heavy Snow or Rain,147
4179,07-04-2012,Spring,2012,April,0,No Holiday,Saturday,Non-Working Day,Light Rain or Mist,111
4180,28-01-2011,Winter,2011,January,23,No Holiday,Friday,Non-Working Day,Heavy Snow or Rain,6
4181,14-09-2011,Fall,2011,September,2,No Holiday,Wednesday,Non-Working Day,Cloudy or Light Rain,31
4182,10-07-2011,Summer,2011,July,8,No Holiday,Sunday,Working Day,Clear or Partly Cloudy,385
4183,20-06-2011,Summer,2011,June,3,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,11
4184,21-12-2011,Winter,2011,December,23,No Holiday,Wednesday,Non-Working Day,Heavy Snow or Rain,136
4185,18-06-2012,Summer,2012,June,15,No Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,573
4186,18-03-2011,Spring,2011,March,11,No Holiday,Friday,Working Day,Light Rain or Mist,89
4187,06-03-2012,Spring,2012,March,17,No Holiday,Tuesday,Working Day,Light Rain or Mist,800
4188,06-04-2012,Spring,2012,April,11,No Holiday,Friday,Working Day,Light Rain or Mist,207
4189,21-07-2012,Summer,2012,July,1,No Holiday,Saturday,Working Day,Clear or Partly Cloudy,16
4190,25-05-2011,Spring,2011,May,5,No Holiday,Wednesday,Working Day,Light Rain or Mist,4
4191,14-02-2012,Winter,2012,February,15,No Holiday,Tuesday,Working Day,Heavy Snow or Rain,265
4192,03-12-2012,Winter,2012,December,19,No Holiday,Monday,Working Day,Heavy Snow or Rain,412
4193,24-10-2011,Fall,2011,October,5,No Holiday,Monday,Working Day,Cloudy or Light Rain,22
4194,04-06-2012,Summer,2012,June,5,Holiday,Monday,Non-Working Day,Clear or Partly Cloudy,4
4195,08-03-2011,Spring,2011,March,14,No Holiday,Tuesday,Non-Working Day,Light Rain or Mist,216
4196,18-02-2012,Winter,2012,February,6,No Holiday,Saturday,Working Day,Heavy Snow or Rain,59
